name,lat,lng,likes,ratings,photos
El Rinconcito Restaurant,33.9175086,-118.1693827,0,,0
Taqueria Zavala #1,33.9126894,-118.1691488,7,6.9,9
Olga's Naturally: Mexican + Vegan,34.0211936,-118.3728532,10,7.1,27
Taco Bell,34.0225948,-118.3719751,7,5.9,15
Baja Fresh,34.2224381,-118.2354311,9,5.8,7
Senior Nacho,34.2249505,-118.2416296,0,,4
Taco Torro,34.230458,-118.402716,0,,0
Lola's Mexican Cuisine,33.7715433,-118.166963,126,8.8,224
King Torta,34.0627501,-118.186341,57,8.1,62
Chipotle Mexican Grill,34.1870811,-118.4171774,4,7.3,13
Que Ricos Fresh Mexican Kitchen,34.1864594,-118.4152834,9,5.7,14
Taco Bell,33.7896601,-118.1621599,13,5.7,12
Casa Sanchez,33.7900313,-118.1696596,2,,4
Chipotle Mexican Grill,34.0535063,-118.4648398,50,7.3,75
Los Burritos Restaurant,34.1719583,-118.3785858,17,6.8,101
Tacos Manzano,34.1719416,-118.3744258,21,7.0,35
Taco Bell,34.1791344,-118.3829036,14,5.5,23
Casa De Papi Mexican Grill,34.2006279,-118.6136087,1,,3
Hub Liquor & Tacos,34.2884685,-118.4478257,0,,6
Conchita's Raspado #2,34.2815029,-118.4540157,0,,2
Mariscos El Culichi,34.2871549,-118.4457786,2,,2
Tallula's,34.0280065,-118.5180987,21,5.7,18
Chipotle Mexican Grill,34.0169937,-118.282487,91,8.0,77
Chipotle Mexican Grill,33.8018953,-118.3287984,30,7.2,39
El Taco Llama,34.2007569,-118.5007572,1,,3
Tacos Corona,34.2016968,-118.5015566,0,,0
El Pollo Loco,33.9950733,-118.4378269,37,7.2,34
El Jacalito Oaxaqueño,33.9965328,-118.4327752,10,7.9,9
Mi Lindo Nayarit #2,33.9664133,-118.2561113,0,,0
Tocaya - The Point,33.9028186,-118.3954098,14,8.6,20
El Zocalo,33.9035543,-118.2271238,0,,2
El Mariachi Mexican Grill,34.155534,-118.4743316,15,6.1,53
Martha's Mexican Deli,33.9094492,-118.3001702,1,,2
Tito’s Tacos,34.0081386,-118.4144619,531,8.1,755
Campos Tacos,34.0084715,-118.4241502,6,6.3,5
Taco Bell,34.0062925,-118.4294807,18,5.7,30
CaCao Mexicatessen,34.1392684,-118.200662,177,8.6,261
Baja Fresh,34.1264042,-118.2638542,25,7.0,24
Tacos Villa Corona,34.1178432,-118.2615816,83,8.7,77
Hacienda Playa,33.9568284,-118.4431567,24,7.8,59
Viva Rancho Cantina,34.1606296,-118.3105325,40,6.1,166
El Pollo Loco,34.162624,-118.3139803,12,5.5,21
Carniceria Guadalajara,33.93488180000001,-118.3609644,3,,4
Lennox Pollo,33.9374792,-118.361147,3,,8
El Tarasco Mexican Food,33.9311247,-118.3590012,12,6.9,7
Baja Rosarito,33.9305614,-118.3550978,0,,1
Taco Bell,33.8230341,-118.336264,14,5.8,11
Raspados Nayarit,34.0736218,-118.2043118,4,,2
Little Rodeo,34.0736247,-118.2036962,10,6.7,5
Viva Taco La Estrella,34.0691235,-118.2005258,4,6.0,4
Salazar,34.107381,-118.2544211,189,9.1,167
El Pollo Loco,34.1145295,-118.2459697,12,6.3,8
Lupita's Tamales,34.1141771,-118.2445763,8,7.5,9
Birria El Guero,33.991122,-118.2393021,0,,0
Super Mex Restaurant,33.8192464,-118.1679348,7,7.5,5
Taco Plus,34.0310957,-118.4008381,9,6.3,17
Te'Kila,34.1487199,-118.4337889,15,6.7,7
Cactus Taqueria #4,34.1501647,-118.4309824,37,7.5,11
Poquito Mas,34.1485656,-118.4357703,68,8.5,73
Gus Jr,34.0109407,-118.2683536,0,,0
El Pollo Loco,34.0036446,-118.2656585,7,6.8,4
La Corita,34.0022765,-118.264882,2,,4
Tacos Tumbras,34.0061255,-118.2654644,0,,0
Taqueria Mi Casita,34.0037155,-118.2688602,1,,2
Gus' Tacos Mexican Grill,34.1045698,-118.2580665,2,,7
Gloria's Cafe,34.0215538,-118.4027208,86,7.9,128
Chipotle Mexican Grill,34.1436372,-118.3977294,62,7.9,89
Mexicali Cocina Cantina,34.143553,-118.3973968,83,7.5,118
Sausal,33.9179656,-118.41617,64,8.5,49
Los Toros Mexican Restaurant,34.25745089999999,-118.6031858,156,8.4,282
Tacos El Cosas,34.2575925,-118.6055335,3,,5
Rincon Taurino,34.235712,-118.4498101,15,7.7,11
La Sirenita,34.2359975,-118.4499777,16,7.5,28
Laura's Mexican & Seafood Restaurant,34.2341767,-118.4402832,3,6.3,9
La Villa Cafe,34.13354410000001,-118.2688104,0,,1
El Sauz Tacos,34.1333188,-118.2621869,70,8.4,29
Taco Bell,34.0111767,-118.3004626,7,5.6,2
Burger Factory 2,34.0106502,-118.3000059,4,,1
Burger Factory,34.0106502,-118.3000059,4,,1
Las Islas Mariscos and Grill,33.9306688,-118.1816429,0,,2
El Pollo Loco,33.9296347,-118.1686541,6,6.6,2
Restaurante Playa De Acapulco,33.9329289,-118.1823651,0,,0
Taco Bell,34.0389703,-118.5546268,5,5.9,5
La Villita Cantina,34.1056562,-118.3184835,0,,4
Taco Bell,34.1661553,-118.353372,17,6.8,27
Tequilas Cantina & Grill,34.1655008,-118.353454,39,7.7,77
Taco Shop,33.7945346,-118.2152821,0,,0
Taco Bell,33.7904149,-118.2152669,4,6.0,3
Alberta's Mexican Food,33.7896506,-118.2161969,4,5.5,14
Taqueria La Fogata,33.7924334,-118.2152212,1,,0
taqueria los primos,33.7896198,-118.2178257,0,,0
Las Islitas Restaurant,33.7871303,-118.2157238,2,,4
Tacos Garibaldi,34.2523318,-118.4258831,0,,0
Birrieria Apatzingan,34.25283660000001,-118.4253465,3,,4
Sharky's Woodfired Mexican Grill,34.1702265,-118.5362759,23,7.4,17
Chipotle Mexican Grill,34.1703355,-118.5410493,14,6.8,33
Tacos el Goloso,33.78214030000001,-118.2981351,1,,1
Chipotle Mexican Grill,33.9012362,-118.3731869,88,8.0,104
El Pollo Loco,33.9013344,-118.3658899,7,6.6,9
Taco Bell,34.0032845,-118.406891,12,6.0,29
